;character_name;0;1;2;3;4;5;6;7;relative_count
328;BARNABAS_THE BARMY;0;0;0;0;0;0;0;0;0.0
329;HECTOR_DAGWORTH-GRANGER;0;0;0;0;0;0;0;0;0.0
330;PATRICK_DELANEY_PODMORE;0;0;0;0;0;0;0;0;0.0
331;FLORENCE_QUILEY;0;0;0;0;0;0;0;0;0.0
332;GABRIEL_GALE;0;0;0;0;0;0;0;0;0.0
333;GEORGI_ZDRAVKO;0;0;0;0;0;0;0;0;0.0
334;HADRIAN_POTTER;0;0;0;0;0;0;0;0;0.0
335;HERBERT_BEERY;0;0;0;0;0;0;0;0;0.0
336;HUGO_GRANGER-WEASLEY;0;0;0;0;0;0;0;0;0.0
337;JANE_COURT;0;0;0;0;0;0;0;0;0.0
338;JUSTIN_FINCH-FLETCHLEY;0;0;0;0;0;0;0;0;0.0
339;KENNETH_BRANAH;0;0;0;0;0;0;0;0;0.0
